"","SAMPLEID","AGE","MALE","BLACK","EDUC","LIFESAT","AGE_DIFF"
"1","AB05C58AB1",58,1,1,"1.>HS",4.6,0
"2","AD07C59JO1",57,0,1,"2.HS",4.8,0
"3","AG12R55EL1",62,1,1,"2.HS",5,-12
"4","AL06B83TO0",34,1,0,"3.>HS",2.4,11
"5","AL28J50PE1",67,1,1,"1.>HS",5,0
"6","AR05J51AC1",65,1,1,"1.>HS",4.8,0
"7","BA02B90BA0",27,0,0,"3.>HS",1.2,20
"8","BA08T67MU1",50,0,1,"1.>HS",2.2,-10
"9","BA24F71GU0",46,1,0,"2.HS",2.4,0
"10","BA28J55WH1",61,1,1,"1.>HS",5.4,-16
"11","BA30C55GR1",62,1,1,"3.>HS",4,0
"12","BE01E89WA1",27,1,0,"2.HS",3.6,0
"13","BE03M81CO1",36,0,0,"3.>HS",3.4,0
"14","BE06R49GR1",67,1,1,"2.HS",2,-2
"15","BE11B91BE1",26,1,0,"2.HS",5.8,9
"16","BE14C86PO1",31,1,0,"1.>HS",2,1
"17","BE15P62JO1",55,0,1,"3.>HS",3,-5
"18","BE17L71MI1",46,1,0,"2.HS",3.8,0
"19","BE18A87ST1",29,0,0,"3.>HS",3,-4
"20","BE19S62JO0",56,1,1,"1.>HS",3,-6
"21","BE25M62RO1",55,1,1,"2.HS",5.4,-15
"22","BE56J15CR1",61,1,1,"2.HS",1.2,39
"23","BE74C14DI1",43,0,0,"1.>HS",3,0
"24","BI13B92MC1",24,0,0,"3.>HS",2.8,0
"25","BO08A76PI1",41,0,0,"2.HS",1,59
"26","BO15C87KI1",29,0,0,"3.>HS",3.2,11
"27","BO25C80MO1",37,1,0,"3.>HS",2.2,13
"28","BO26L60FE1",58,1,1,"1.>HS",6.2,0
"29","BO29C66BO1",50,1,1,"1.>HS",4.8,-10
"30","BO29C72RU0",45,1,0,"3.>HS",1.4,20
"31","BR01S61PE0",56,0,1,"3.>HS",5.8,44
"32","BR08T54BR1",63,1,1,"2.HS",5,-3
"33","BR10J52KC0",64,1,1,"1.>HS",6.6,-19
"34","BR10S55EM0",62,1,1,"1.>HS",2.4,0
"35","BR12A79BR1",37,0,0,"1.>HS",5,13
"36","BR12S75SL1",42,0,0,"3.>HS",4,8
"37","BR14K54EL1",63,1,0,"1.>HS",5.8,-7
"38","BR22V49BO1",67,0,1,"3.>HS",5,-27
"39","BR24J51LY0",66,1,1,"2.HS",5.8,-16
"40","BR25A91TA1",25,0,0,"1.>HS",2.6,5
"41","BR28A73BR1",43,1,1,"1.>HS",5.2,12
"42","BU05K54WE1",62,1,0,"2.HS",5.4,-12
"43","BU09M91CA1",25,0,0,"2.HS",3.2,0
"44","BU09P56ME1",61,1,1,"1.>HS",5.6,-11
"45","BU20A61BY1",56,1,0,"1.>HS",5.2,6
"46","BU21S52MC0",64,1,0,"2.HS",2.2,0
"47","BU22E51SM1",65,1,1,"3.>HS",5.8,0
"48","CA03C68KE1",49,0,0,"2.HS",5,-28
"49","CA03J91EV1",26,1,0,"3.>HS",5.6,0
"50","CA07A54TR1",63,1,1,"1.>HS",3.6,0
"51","CA08E60KA1",58,1,1,"1.>HS",6.6,-28
"52","CA08G53WR0",64,0,1,"3.>HS",3,0
"53","CA11S88HO1",29,0,0,"2.HS",3.6,11
"54","CA22C55RU1",62,1,1,"1.>HS",5.6,0
"55","CA25D65CA1",52,0,1,"1.>HS",2,-47
"56","CA27M81KE1",35,0,0,"1.>HS",2.4,-5
"57","CA29D51TR1",65,1,0,"3.>HS",6,0
"58","CB26R76TH0",42,1,0,"2.HS",1.4,8
"59","CH27D69OL1",47,1,0,"1.>HS",4,53
"60","CI17S85AV1",32,1,0,"1.>HS",3,13
"61","CI18C57MA0",59,1,1,"2.HS",5.2,1
"62","CL02B55JO1",62,1,1,"2.HS",4.4,-12
"63","CL14P67ER1",49,0,1,"1.>HS",6.4,-20
"64","CO06A86NA1",31,1,0,"2.HS",3,-10
"65","CO06S60TY1",58,1,1,"3.>HS",1.6,0
"66","CO24A67CO1",49,1,1,"1.>HS",5.8,-30
"67","CR31C53MB1",64,1,1,"1.>HS",5.6,2
"68","CU06J52BR1",64,0,1,"2.HS",5.6,-14
"69","CU28T57CU1",60,1,1,"1.>HS",3.2,-20
"70","DA02A56LA0",61,0,1,"1.>HS",1,29
"71","DA04C84MA1",32,1,1,"1.>HS",2.4,-12
"72","DA11L64DA1",52,0,0,"3.>HS",5,-12
"73","DA12J72CA1",46,1,0,"2.HS",6.2,14
"74","DA84A84DA1",33,1,0,"2.HS",5.2,17
"75","DE02L66GO1",51,0,1,"1.>HS",6.2,0
"76","DE03M96JU1",21,0,0,"2.HS",3.4,0
"77","DE07L70PR1",47,1,0,"2.HS",3.8,18
"78","DE09L56TA1",61,1,1,"1.>HS",4.4,-21
"79","DO11G68YA1",49,1,1,"2.HS",1.2,1
"80","DO14A54CO1",63,0,1,"1.>HS",6,0
"81","DO17K84ST1",33,0,0,"1.>HS",1.2,7
"82","DR24L58EO1",59,0,1,"2.HS",3,-1
"83","DU07J84JO1",31,0,0,"3.>HS",5,-9
"84","EA23H71FI1",46,0,1,"3.>HS",2.4,-16
"85","EA27D61EA1",55,1,0,"1.>HS",5,0
"86","EB14M79MA1",38,1,0,"2.HS",5.8,7
"87","EL12J57BE1",60,1,1,"1.>HS",2,-10
"88","EL24E55RE1",62,1,1,"2.HS",4,-7
"89","EP17S64GO1",52,1,1,"2.HS",1,8
"90","EV03R51BI1",65,0,1,"1.>HS",5.2,-10
"91","FA06J81WI1",35,1,0,"3.>HS",1,0
"92","FA20R56WI1",60,1,1,"3.>HS",5.2,-10
"93","FI01R76CR1",41,1,0,"3.>HS",2.8,-6
"94","FI02A57MA1",60,1,1,"1.>HS",5.2,0
"95","FI03C54PA1",61,0,1,"1.>HS",6.6,-17
"96","FI03Y59LI1",58,0,1,"3.>HS",4.2,-23
"97","FL03V59LY1",58,1,1,"2.HS",5.4,-18
"98","FO02A94FA1",23,0,0,"1.>HS",1.6,17
"99","FO19R55RA1",62,1,1,"2.HS",2.4,0
"100","FO26A54HO1",63,0,1,"2.HS",3.8,0
"101","FO27E51LI1",66,1,1,"1.>HS",4.8,0
"102","FO28J93SA1",23,0,0,"3.>HS",2.6,0
"103","FR22P76FR1",41,0,0,"1.>HS",3.2,-1
"104","FR26S54PE1",63,0,0,"3.>HS",4.8,-18
"105","FU03R57TO1",59,1,1,"1.>HS",4,0
"106","FU19J57HA1",60,0,1,"1.>HS",3.2,-59
"107","FU21J71VE1",46,1,1,"1.>HS",5.2,0
"108","GA01T63GL1",53,0,1,"1.>HS",5.8,0
"109","GA04J78SM0",39,1,0,"2.HS",1.6,26
"110","GA05L88TA1",28,0,0,"2.HS",5.2,0
"111","GA06J90JE1",26,1,0,"1.>HS",3.4,4
"112","GA08W47PJ1",70,1,0,"1.>HS",4.6,-5
"113","GA13S66DE1",50,0,1,"1.>HS",5.8,-1
"114","GA14W71PA1",46,1,0,"2.HS",2.4,-11
"115","GA24G57MO1",59,0,1,"1.>HS",5,0
"116","GA29A69OV0",53,0,1,"1.>HS",6,-18
"117","GE08T55NI1",61,0,1,"1.>HS",5.2,9
"118","GI23E49BR1",68,1,1,"2.HS",5.4,2
"119","GL03J47GI1",70,1,1,"3.>HS",4,-10
"120","GL04V58CA1",58,0,1,"1.>HS",5.2,-28
"121","GL08C53HO0",63,0,1,"3.>HS",4.4,-23
"122","GL21T53GU1",64,1,1,"2.HS",5.6,-14
"123","GL30E54HE1",63,1,1,"1.>HS",5.6,-23
"124","GO13L52MC1",64,0,1,"1.>HS",3.8,-24
"125","GO22J74HU1",42,0,0,"2.HS",2,38
"126","GR07J58WH1",59,0,1,"3.>HS",5.4,-9
"127","GR07S66SS0",50,0,1,"1.>HS",3.6,10
"128","GR11T54NE1",62,1,1,"1.>HS",4.6,-7
"129","GR19Y67GA0",51,0,1,"1.>HS",5.2,-1
"130","GR26M62LI1",54,1,1,"3.>HS",2.8,-8
"131","HA04C89RO1",28,0,1,"3.>HS",1.8,4
"132","HA07A51YA1",66,1,1,"2.HS",6,-1
"133","HA09F61EL1",55,1,1,"2.HS",4.8,10
"134","HA11A47MC1",70,1,1,"2.HS",5.2,0
"135","HA11Y54JO0",62,0,1,"1.>HS",5.6,-22
"136","HA15W62LE1",57,1,1,"2.HS",7,-7
"137","HA18Q54DE1",63,1,1,"3.>HS",4.4,-3
"138","HA19L82ST1",34,1,1,"2.HS",1.4,-5
"139","HA20J59MO1",58,0,1,"1.>HS",7,-28
"140","HA20O54RA1",63,0,1,"2.HS",3,-46
"141","HA24H89LA1",27,0,0,"2.HS",1.2,13
"142","HA24J59LU1",58,0,1,"2.HS",2.6,-8
"143","HA31E56HA1",61,1,1,"3.>HS",2.8,0
"144","HE05C84BU1",32,0,0,"3.>HS",4.6,-7
"145","HE06W53WA1",63,1,1,"1.>HS",1.4,-18
"146","HE18J46CO0",71,1,1,"1.>HS",3.4,0
"147","HE19M53FI1",64,1,1,"2.HS",4.4,1
"148","HE21S61MA1",58,1,1,"1.>HS",4.8,-57
"149","HI16G56CH1",61,1,1,"1.>HS",5.2,-11
"150","HN06J48BO0",69,1,1,"1.>HS",2.6,0
"151","HO02B46MC0",71,0,1,"1.>HS",5,-21
"152","HO37R47FO0",70,1,1,"2.HS",4,-20
"153","HU03L53TH1",64,1,0,"1.>HS",4.4,0
"154","HU03R56AD1",60,1,1,"2.HS",4.8,-10
"155","HU03S72HU1",44,0,1,"3.>HS",6,6
"156","HU09S7OHU1",47,0,1,"1.>HS",5.4,-12
"157","HU12A61NA1",55,1,1,"2.HS",3.2,-15
"158","HU17L50TH1",67,1,1,"2.HS",3,0
"159","HU24C65QU0",52,0,1,"1.>HS",5.6,-22
"160","IS16M77BO1",40,1,0,"3.>HS",5,0
"161","IS27R75HU1",42,1,0,"2.HS",1.8,0
"162","IW14M89JI1",28,0,0,"1.>HS",1,7
"163","JA02D67JA1",50,1,1,"2.HS",3,5
"164","JA04B58FI1",59,0,1,"1.>HS",6,0
"165","JA14P62SN1",55,0,1,"1.>HS",4.6,0
"166","JA24R55DU1",62,1,0,"2.HS",6.2,-10
"167","JA25K50JA1",67,1,1,"2.HS",4.6,-22
"168","JA28T71LE1",46,0,1,"1.>HS",6.2,4
"169","JE20S54MA1",63,1,1,"2.HS",3.4,-18
"170","JE26S64MI0",53,1,1,"2.HS",2.8,-33
"171","JI14L61GA1",55,1,0,"1.>HS",6,0
"172","JI21C91MC1",26,1,0,"1.>HS",5.2,-6
"173","JO02R64WI1",53,1,1,"2.HS",4,-18
"174","JO03C75FJ1",42,1,1,"1.>HS",2.2,-2
"175","JO07C51BR1",65,0,1,"1.>HS",3,-20
"176","JO07M59MC1",58,0,1,"1.>HS",3.2,-8
"177","JO10D51BO1",66,1,1,"3.>HS",3,0
"178","JO11E84RI0",32,0,0,"3.>HS",4,3
"179","JO12L65LO0",51,1,1,"2.HS",2.4,-46
"180","JO18J58MA1",58,1,1,"3.>HS",4,-28
"181","JO19G59BO1",58,1,1,"2.HS",4.4,0
"182","JO23L55BR1",62,1,1,"3.>HS",5.4,-27
"183","JO24D72JO1",44,0,1,"1.>HS",6.4,0
"184","JO24M56BO1",61,1,0,"3.>HS",4.2,-11
"185","JO25D63SM1",54,0,1,"1.>HS",6,-17
"186","JO25J49BO0",68,1,1,"2.HS",3.6,0
"187","JO29D63MA1",54,1,1,"1.>HS",3.6,-9
"188","JO30T70RO1",47,1,0,"3.>HS",3,3
"189","JO30T85CA1",32,1,1,"1.>HS",1.8,8
"190","JO31S83GR1",33,1,0,"3.>HS",3.2,-8
"191","KE02M52KE0",64,0,1,"1.>HS",3.2,16
"192","KE03C52HE1",65,1,1,"2.HS",5.8,0
"193","KI13M70PI1",46,0,0,"2.HS",1,0
"194","KI30M81HO1",35,0,0,"3.>HS",5.8,5
"195","KL17J58KR1",58,0,0,"1.>HS",3.6,2
"196","KR23M86AR1",31,0,0,"3.>HS",3.2,4
"197","KR30E87MC1",30,0,0,"3.>HS",3.8,0
"198","LA15N69MC1",48,1,1,"1.>HS",2.6,-13
"199","LA21J89DE1",28,1,0,"3.>HS",1,0
"200","LE14B93LA1",24,0,0,"1.>HS",5,16
"201","LE25S73SH1",44,1,1,"2.HS",5.8,-9
"202","LE26J73WA1",44,1,1,"3.>HS",1,-10
"203","LE27F76MC1",40,0,1,"1.>HS",5.6,-22
"204","LE28D57BA1",60,1,0,"1.>HS",6.4,-10
"205","LE31L88SP1",29,0,0,"2.HS",5.8,-6
"206","LI02A47MO1",70,1,1,"2.HS",4,-20
"207","LI06C59ZI1",58,1,1,"2.HS",1.8,-13
"208","LI07L70PA1",47,1,0,"3.>HS",4.6,0
"209","LL11L55BA1",61,0,1,"2.HS",3.2,-6
"210","MA04K63EP1",53,1,1,"2.HS",1.6,-32
"211","MA06D55MI1",62,1,1,"1.>HS",6.4,0
"212","MA10L53BR0",64,0,1,"1.>HS",5.2,1
"213","MA12D89HE1",27,1,0,"2.HS",1,0
"214","MA14R53JL1",64,1,1,"1.>HS",4.8,1
"215","MA17L50DU1",67,0,1,"1.>HS",5.2,-17
"216","MA19S58BA1",59,0,1,"1.>HS",5.2,-1
"217","MA22T55BH1",61,1,1,"2.HS",5.2,-31
"218","MA29N52LA0",65,1,0,"1.>HS",5.8,0
"219","MC02A61ST1",56,1,1,"3.>HS",6.4,-31
"220","MC04P61MA1",57,0,1,"1.>HS",4.4,-53
"221","MC09S49JO1",68,0,1,"2.HS",5.6,-13
"222","MC20A90LO1",27,1,0,"2.HS",6.2,13
"223","MC23C45OJ1",72,1,1,"1.>HS",2.8,-42
"224","MC23J84PH1",32,0,0,"1.>HS",2,8
"225","MC28D63ME1",53,0,0,"3.>HS",4,-8
"226","MC28R53SA1",64,1,1,"2.HS",5,-14
"227","MC30W55WI1",61,1,1,"3.>HS",4.2,-11
"228","MCO3L63MC1",54,1,1,"2.HS",4.2,-19
"229","ME12T57MO1",59,1,0,"3.>HS",1,6
"230","ME20C53TU1",63,1,1,"1.>HS",3.8,-13
"231","ME24C61LA1",55,0,0,"3.>HS",6.6,-34
"232","ME30S88ME1",29,0,0,"3.>HS",6.4,6
"233","MI06V59FL1",58,1,1,"2.HS",5,-13
"234","MI09M50MA0",67,1,1,"2.HS",6.4,-7
"235","MI11D70JI1",48,1,0,"3.>HS",7,22
"236","MI13T63MA0",54,1,1,"1.>HS",6,-49
"237","MO03A64AN1",54,1,1,"1.>HS",6.8,-19
"238","MO06M81RO0",35,0,0,"3.>HS",5.2,-5
"239","MO10D56RO1",61,1,1,"1.>HS",6.2,-11
"240","MO11A54PR1",63,1,1,"3.>HS",2,-8
"241","MO28F59RO1",57,1,1,"1.>HS",3.2,-36
"242","MO30E56PR1",60,1,1,"1.>HS",3.2,2
"243","MU17M64MU1",53,1,1,"1.>HS",6.6,-23
"244","MY13N60FL1",57,1,1,"2.HS",1,10
"245","MY18S80MC1",37,0,0,"3.>HS",1,8
"246","NA07A88PA1",28,1,0,"3.>HS",5,-7
"247","NE01S52BL1",65,0,1,"3.>HS",4.2,-10
"248","NE10V50MI1",67,1,1,"1.>HS",2.2,3
"249","NE17S79NE1",37,0,0,"2.HS",3.4,-16
"250","NE22G60NE1",56,1,1,"3.>HS",1.8,-9
"251","NI09A91SA0",25,0,0,"2.HS",7,0
"252","NO03R53NO1",64,0,1,"2.HS",4.2,0
"253","NO08C60HE1",57,0,1,"3.>HS",3,-12
"254","NO09T62HA0",55,1,1,"3.>HS",4.8,0
"255","NY20A54AL1",63,1,1,"3.>HS",4,-23
"256","OD22S58NE0",58,1,1,"2.HS",4,-8
"257","OL11J88SO1",29,1,0,"2.HS",2.4,11
"258","ON09A49ST1",68,1,1,"1.>HS",5,-18
"259","ON14L70GR1",46,1,1,"2.HS",3,-26
"260","OT16C59VA1",57,1,0,"2.HS",2.4,-17
"261","OV14T63TH1",53,1,1,"1.>HS",4.6,-17
"262","OV20B56HA1",61,1,1,"2.HS",4.4,-21
"263","P006B53BG1",64,1,1,"2.HS",6.6,-4
"264","PA04M81GA1",35,0,0,"1.>HS",4.6,0
"265","PA08T71NE1",46,1,1,"3.>HS",2.4,-6
"266","PA19T70CY1",47,1,1,"2.HS",3.2,-36
"267","PA26P79WA1",37,1,0,"3.>HS",3.8,-2
"268","PA28K58HU1",58,1,1,"1.>HS",3.2,0
"269","PA30G66RO1",50,1,1,"1.>HS",6.2,0
"270","PA72S87PA1",29,1,0,"2.HS",2.2,-9
"271","PE04N84BR1",32,1,0,"1.>HS",2.8,13
"272","PE12R65TO1",51,0,1,"3.>HS",4.6,-11
"273","PE18I51NE0",65,1,1,"2.HS",4.4,-11
"274","PI13N81TO1",36,1,0,"3.>HS",6.6,0
"275","PI18B59BU1",58,0,1,"3.>HS",2,-18
"276","PI26D54AU0",62,1,0,"3.>HS",4.4,1
"277","PO08C69PH1",48,0,0,"1.>HS",7,-8
"278","PO25M51HA1",66,1,1,"3.>HS",2.4,-6
"279","PO29S54PO1",63,1,1,"2.HS",3.8,0
"280","PR06K96GR1",21,0,0,"3.>HS",1.4,14
"281","PR15M52LE1",65,1,1,"2.HS",5.2,-15
"282","PR85C64ED0",53,0,1,"1.>HS",5.4,7
"283","PU16E58CO1",59,1,1,"3.>HS",6.2,-21
"284","RA06C56WI1",58,0,1,"1.>HS",5,-28
"285","RE07B67RE0",49,1,0,"2.HS",2,1
"286","RE18C51GE0",65,0,1,"1.>HS",6,-30
"287","RE22M55AR1",62,1,1,"2.HS",2.2,28
"288","RE24W69SM1",47,1,1,"1.>HS",6.4,-26
"289","RE3R62JA10",55,1,1,"2.HS",6.2,0
"290","RI13K54RO1",63,1,1,"2.HS",3.2,-3
"291","RI13M55MC1",62,0,1,"1.>HS",5,-37
"292","RI19W57RO1",60,1,1,"1.>HS",5.8,0
"293","RI23M91KA1",25,1,0,"1.>HS",5.2,10
"294","RO05J79MA1",38,0,0,"1.>HS",3.2,-8
"295","RO10H51MO1",65,1,1,"3.>HS",4.4,0
"296","RO10M67PE1",49,1,0,"2.HS",2,11
"297","RO12C87CO1",30,0,0,"2.HS",7,10
"298","RO13D91CL1",26,0,0,"3.>HS",4.8,14
"299","RO14O53WA1",64,1,1,"2.HS",2,-63
"300","RO18T81SO1",35,0,0,"1.>HS",3.2,5
"301","RU30J89RU1",27,1,0,"2.HS",3,0
"302","SA03Y52BR1",64,0,1,"1.>HS",2.6,-14
"303","SA18D57KE0",59,1,1,"2.HS",6.2,-54
"304","SC02B75KA1",42,1,0,"3.>HS",1,18
"305","SC09J80CE1",36,1,0,"2.HS",1.6,8
"306","SC17W57WI1",60,1,1,"1.>HS",4.2,-20
"307","SC19P54PR1",63,1,1,"2.HS",5.2,6
"308","SC20D80WH1",36,1,0,"2.HS",2.4,-15
"309","SH21M90FO1",27,0,0,"2.HS",3.4,3
"310","SH29W51RO0",65,1,1,"3.>HS",2.4,-20
"311","SH30D54JO0",63,0,1,"2.HS",6,-23
"312","SI17B69EL0",48,1,1,"2.HS",1.2,12
"313","SI29E58MO1",59,0,0,"1.>HS",5.2,-21
"314","SL23L75RO0",42,0,0,"3.>HS",3.2,-12
"315","SM03L62JO1",55,1,1,"2.HS",3.4,-15
"316","SM06A85RU1",31,0,0,"1.>HS",1,-1
"317","SM10A55DO1",61,1,1,"2.HS",5.2,-21
"318","SM11J73AN1",44,0,0,"3.>HS",2.2,-4
"319","SM17G51GY1",64,1,1,"1.>HS",3.4,-19
"320","SM19H49OI1",69,1,1,"3.>HS",5.6,0
"321","SM23K58RU1",58,1,1,"2.HS",2.8,-23
"322","SM23L57GE0",60,0,0,"1.>HS",1,-5
"323","SM28B76DE1",40,1,0,"2.HS",2.2,10
"324","SM29C59RA1",56,0,1,"1.>HS",5,0
"325","SM29J59SM1",57,1,1,"2.HS",3.6,-22
"326","SO06T79GI0",38,0,0,"3.>HS",3.6,-3
"327","SP07M51CH1",66,0,1,"1.>HS",5.8,-11
"328","SP16A89RA1",28,0,0,"3.>HS",4.2,2
"329","SP29L52CH1",65,1,1,"2.HS",5.4,-10
"330","ST01C94CU1",23,0,0,"2.HS",6,0
"331","ST05J85JO0",31,1,1,"3.>HS",2.4,19
"332","ST07A65HU1",51,0,1,"2.HS",6,49
"333","ST09D55TO1",61,1,1,"2.HS",3.4,0
"334","ST09R56SM1",60,1,1,"2.HS",3.6,-10
"335","ST14W57JE1",60,1,1,"2.HS",3,0
"336","ST16J79WI1",38,0,0,"3.>HS",4,-8
"337","ST18M55SM1",62,1,1,"1.>HS",5.4,-22
"338","ST22W79IN1",37,1,0,"1.>HS",4.4,18
"339","ST23D73ST1",43,1,1,"3.>HS",2.2,0
"340","ST25N89HA1",28,1,0,"3.>HS",4.4,0
"341","ST27L52TO0",64,1,1,"2.HS",4.6,-19
"342","ST28B82PU0",35,1,0,"2.HS",4,0
"343","ST31A68CI1",47,1,1,"1.>HS",5.8,-12
"344","TA03M65SC1",51,0,1,"2.HS",4,9
"345","TA10B84TA1",33,1,0,"1.>HS",3.4,0
"346","TA14H56TA0",61,1,1,"3.>HS",4.4,0
"347","TA17A50BE1",66,1,0,"3.>HS",4,-41
"348","TA20A67HA1",50,1,1,"2.HS",3,5
"349","TA20R49DA1",67,1,1,"3.>HS",5.8,0
"350","TA25L64WE1",52,0,1,"3.>HS",1.8,1
"351","TA29C73GH1",44,1,0,"1.>HS",7,6
"352","TE12L54SM1",62,1,1,"2.HS",5.4,0
"353","TH01C90GE1",26,0,0,"3.>HS",3.4,7
"354","TH03T53SA0",64,1,1,"1.>HS",5.4,-9
"355","TH05C67PR1",49,1,1,"1.>HS",3.2,-9
"356","TH12R560W1",61,1,1,"1.>HS",2.8,-1
"357","TH14R59JO1",58,0,1,"3.>HS",6.4,-57
"358","TH22O51DA1",66,1,1,"3.>HS",6.2,-6
"359","TO05M84DO0",33,1,0,"3.>HS",4,0
"360","TR13E46LY1",71,1,1,"2.HS",6.2,-66
"361","TR28C50CO1",63,1,1,"2.HS",3.8,-1
"362","TU01V53OR1",63,1,0,"3.>HS",4.6,-18
"363","TU06V55BA1",62,0,1,"2.HS",2.6,18
"364","TU12C58TH1",59,1,1,"1.>HS",5.8,0
"365","UM23B74CO1",43,0,0,"3.>HS",2.8,-13
"366","VA09D84WI0",32,1,0,"1.>HS",3,8
"367","VA22R53DA1",63,1,1,"1.>HS",5,0
"368","VA29S91MO1",25,1,0,"1.>HS",5.4,0
"369","VE18A92SN1",25,1,0,"3.>HS",4.6,9
"370","VU25H68LI1",49,0,0,"3.>HS",5.2,-10
"371","VW01V53CA1",63,0,1,"1.>HS",5.8,-23
"372","WA04D72CO1",44,1,0,"3.>HS",6,-9
"373","WA10L69JO0",48,0,1,"1.>HS",6.6,-18
"374","WA14G67SA0",50,0,1,"1.>HS",1,0
"375","WA17K57SP1",60,1,1,"1.>HS",1,-20
"376","WA18K57JO1",60,1,1,"1.>HS",5,-5
"377","WA18S69RE0",47,1,0,"2.HS",4.6,13
"378","WA19B66WA1",50,1,1,"1.>HS",1,-20
"379","WA26D88KE1",29,1,0,"2.HS",4.6,36
"380","WA28R55WA1",61,1,1,"2.HS",1.6,-16
"381","WA29G56WA1",61,0,1,"2.HS",3.4,0
"382","WE06A69JO1",57,1,1,"3.>HS",4.8,-7
"383","WE28V90WE1",26,0,0,"3.>HS",3.8,-6
"384","WE30L54VI1",62,0,0,"2.HS",4.4,-17
"385","WH18A51MA1",65,1,1,"2.HS",5.6,-25
"386","WH20N54OL1",63,1,1,"2.HS",5.2,-18
"387","WH27V67AR1",60,0,1,"3.>HS",3.8,-30
"388","WH29K50JO1",66,1,1,"2.HS",4.4,-6
"389","WI01M67WI1",49,1,1,"1.>HS",3.8,0
"390","WI02K56HO1",60,1,1,"1.>HS",6,-10
"391","WI07D50LE0",66,1,1,"1.>HS",5.8,-26
"392","WI07S79CA0",38,0,0,"3.>HS",3.2,-8
"393","WI09W65MU0",52,1,0,"2.HS",3.2,-2
"394","WI14J64RO1",53,1,1,"2.HS",6.2,7
"395","WI17N54DO1",62,1,1,"2.HS",3.8,-57
"396","WI17S73WI1",43,0,0,"3.>HS",2,-10
"397","WI24H52AB1",65,1,0,"1.>HS",6.8,-25
"398","WI27T74WI1",42,0,0,"3.>HS",4.8,18
"399","WI29A47RE1",69,1,1,"1.>HS",2.2,-34
"400","WI29R54NO0",63,1,1,"2.HS",3,0
"401","WO31S79GR1",38,0,0,"1.>HS",2.6,7
"402","WR07W49RJ0",68,0,1,"2.HS",3.8,0
"403","WY14N86BA1",30,0,0,"2.HS",1.8,20
"404","YA15J84JE1",32,1,0,"2.HS",5.8,18
"405","YA22A56GU1",61,1,1,"3.>HS",4.2,-16
"406","ZE01C80CH1",37,1,0,"1.>HS",4.8,3
"407","ZI16J59LE1",57,1,0,"3.>HS",4,-17
"408","ZU14A84RA1",33,0,0,"1.>HS",6.6,17
